B1,B2,B3,Actual,,,,
62,61,66,79,,,,
53,46,77,76,,,,
69,76,53,92,,,,
64,65,55,86,,,,
49,53,60,78,,,,
75,69,68,96,,,,
52,61,50,75,,,,
54,69,53,77,,,,
74,82,63,81,,,,
64,71,61,86,,,,
80,78,74,94,,,,
69,73,65,84,,,,
75,77,67,91,,,,
60,60,53,75,,,,
56,67,68,89,,,,
67,66,73,91,,,,
79,75,91,94,,,,
74,76,79,91,,,,
65,71,67,89,,,,
75,79,84,89,,,,
52,53,50,81,,,,
69,74,53,88,,,,
73,73,79,86,,,,
59,67,83,85,,,,
63,65,66,63,,,,
64,65,65,85,,,,
59,60,61,88,,,,
60,68,69,80,,,,
59,59,62,80,,,,
74,66,65,90,,,,
43,49,41,77,,,,
72,77,79,95,,,,
57,74,59,85,,,,
79,82,77,94,,,,
52,62,54,75,,,,
57,63,66,91,,,,
68,63,59,76,,,,
61,58,58,89,,,,
62,73,64,87,,,,
68,75,70,89,,,,
80,67,70,92,,,,
51,52,58,77,,,,
54,59,58,75,,,,
74,75,77,94,,,,
72,66,65,89,,,,
72,74,78,84,,,,
62,70,59,81,,,,
78,73,72,90,,,,
84,83,67,93,,,,
62,74,77,91,,,,
61,61,59,83,,,,
73,82,72,98,,,,
60,68,68,78,,,,
43,46,40,79,,,,
71,72,64,89,,,,
69,70,58,89,,,,
63,78,64,82,,,,
69,80,73,93,,,,
57,58,76,89,,,,
62,66,63,91,,,,
55,55,55,77,,,,
47,49,56,78,,,,
69,60,60,90,,,,
58,52,65,79,,,,
70,82,83,96,,,,
64,65,68,91,,,,
62,66,71,84,,,,
64,68,66,91,,,,
51,66,63,89,,,,
63,62,68,79,,,,
72,63,68,88,,,,
68,70,71,86,,,,
71,72,77,85,,,,
47,64,49,85,,,,
76,83,82,98,,,,
63,69,64,82,,,,
78,81,70,95,,,,
65,83,72,94,,,,
63,72,60,85,,,,
71,66,74,85,,,,
61,60,56,83,,,,
58,55,39,87,,,,
52,55,57,88,,,,
78,67,70,90,,,,
68,65,68,87,,,,
84,90,88,97,,,,
72,66,70,92,,,,
63,65,62,79,,,,
61,69,77,84,,,,
89,84,82,99,,,,
55,57,41,77,,,,
76,79,77,92,,,,
60,59,61,83,,,,
75,80,85,97,,,,
66,68,58,77,,,,
52,53,46,78,,,,
67,70,58,89,,,,
62,62,55,77,,,,
66,77,68,88,,,,
70,65,61,79,,,,
50,54,51,84,,,,
44,62,62,76,,,,
49,68,57,86,,,,
55,68,68,75,,,,
43,65,53,77,,,,
78,81,66,92,,,,
84,57,63,90,,,,
53,47,48,85,,,,
85,86,81,89,,,,
60,65,62,88,,,,
59,56,45,83,,,,
70,61,73,88,,,,
72,73,64,86,,,,
73,62,82,95,,,,
59,43,48,87,,,,
75,84,83,92,,,,
73,71,74,92,,,,
71,66,67,82,,,,
66,79,60,92,,,,
69,75,55,93,,,,
65,71,55,86,,,,
55,55,59,84,,,,
67,60,52,71,,,,
67,62,49,87,,,,
67,81,73,91,,,,
62,74,79,89,,,,
60,70,75,85,,,,
68,79,77,94,,,,
67,70,76,88,,,,
70,61,73,88,,,,
74,85,66,91,,,,
70,69,75,85,,,,
55,60,66,77,,,,
49,47,52,76,,,,
67,68,71,86,,,,
48,61,68,87,,,,
66,75,68,94,,,,
60,58,54,79,,,,
44,62,62,76,,,,
50,58,62,81,,,,
65,67,55,89,,,,
64,51,53,81,,,,
64,55,71,91,,,,
79,83,86,95,,,,
59,69,73,84,,,,
65,62,74,96,,,,
77,81,68,94,,,,
55,68,72,83,,,,
53,53,58,85,,,,
66,65,62,91,,,,
73,61,65,90,,,,
55,63,57,79,,,,
55,66,53,78,,,,
49,60,61,79,,,,
59,60,51,85,,,,
37,46,44,71,,,,
57,75,72,87,,,,
66,75,64,82,,,,
50,61,72,80,,,,
30,54,45,69,,,,
60,70,68,91,,,,
73,74,73,88,,,,
56,64,71,91,,,,
61,72,79,88,,,,
67,78,59,86,,,,
62,65,57,87,,,,
65,69,74,88,,,,
65,66,64,84,,,,
73,69,71,92,,,,
61,55,51,77,,,,
70,67,70,86,,,,
69,66,56,93,,,,
69,72,66,93,,,,
63,73,62,86,,,,
49,71,73,77,,,,
60,64,56,78,,,,
57,69,63,88,,,,
73,75,76,91,,,,
59,75,63,92,,,,
62,65,50,86,,,,
69,78,77,84,,,,
91,89,87,98,,,,
76,76,69,95,,,,
67,70,71,84,,,,
60,53,69,89,,,,
81,78,84,89,,,,
51,52,42,81,,,,
65,75,81,88,,,,
71,65,58,83,,,,
63,63,60,81,,,,
68,66,74,81,,,,
68,66,80,83,,,,
54,60,49,80,,,,
57,59,56,82,,,,
71,84,69,90,,,,
64,63,67,78,,,,
63,72,56,89,,,,
62,67,56,82,,,,
62,76,70,91,,,,
51,59,53,75,,,,
60,68,70,75,,,,
58,72,54,84,,,,
74,79,75,93,,,,
49,53,53,74,,,,
63,71,78,88,,,,
54,51,45,83,,,,
68,78,78,91,,,,
56,63,54,85,,,,
71,82,62,86,,,,
59,67,75,88,,,,
83,88,84,98,,,,
49,63,73,78,,,,
69,69,77,92,,,,
66,72,78,91,,,,
64,76,61,91,,,,
49,71,57,78,,,,
64,69,71,86,,,,
79,70,92,88,,,,
76,67,72,85,,,,
61,55,64,85,,,,
55,72,71,86,,,,
74,78,83,89,,,,
62,80,84,84,,,,
60,70,77,77,,,,
59,76,76,93,,,,
59,77,59,85,,,,
63,69,63,90,,,,
48,59,53,83,,,,
68,68,65,83,,,,
58,52,70,76,,,,
60,75,76,88,,,,
58,49,49,74,,,,
57,59,59,65,,,,
76,65,77,95,,,,
56,57,69,87,,,,
62,66,82,91,,,,
68,75,66,95,,,,
68,63,80,88,,,,
73,47,86,78,,,,
64,64,72,87,,,,
53,58,59,75,,,,
59,66,52,77,,,,
53,60,50,83,,,,
64,81,79,91,,,,
57,60,67,88,,,,
74,80,84,98,,,,
66,56,52,78,,,,
68,71,70,87,,,,
76,79,74,90,,,,
53,76,72,83,,,,
70,72,77,90,,,,
62,69,73,86,,,,
50,66,56,83,,,,
76,82,80,86,,,,
58,59,60,87,,,,
50,65,67,89,,,,
72,73,86,80,,,,
45,50,43,80,,,,
58,61,62,89,,,,
55,51,68,88,,,,
44,52,60,84,,,,
62,73,77,85,,,,
57,70,57,85,,,,
73,73,73,86,,,,
75,80,60,85,,,,
58,66,69,85,,,,
51,61,47,77,,,,
75,78,90,95,,,,
71,73,72,90,,,,
61,69,73,81,,,,
55,48,55,82,,,,
72,79,67,97,,,,
69,64,77,96,,,,
64,68,69,85,,,,
58,66,47,82,,,,
67,62,75,88,,,,
62,55,57,81,,,,
70,76,84,91,,,,
67,63,66,88,,,,
60,69,58,85,,,,
65,62,68,82,,,,
57,67,70,84,,,,
74,77,71,98,,,,
57,78,72,85,,,,
53,55,44,69,,,,
57,69,58,80,,,,
68,76,75,92,,,,
53,58,60,81,,,,
67,60,62,84,,,,
66,74,81,90,,,,
62,73,78,91,,,,
64,63,68,80,,,,
59,66,50,80,,,,
67,58,63,91,,,,
71,74,77,90,,,,
73,77,82,94,,,,
61,73,70,91,,,,
52,80,76,90,,,,
70,69,87,95,,,,
57,64,50,76,,,,
60,58,63,89,,,,
68,70,67,94,,,,
69,82,67,95,,,,
73,79,69,95,,,,
52,47,59,80,,,,
59,62,58,89,,,,
55,67,76,76,,,,
69,81,86,83,,,,
67,69,61,86,,,,
62,77,79,90,,,,
58,68,49,75,,,,
52,67,57,83,,,,
63,72,60,91,,,,
42,50,54,76,,,,
69,67,64,80,,,,
78,88,90,98,,,,
63,71,78,88,,,,
68,65,71,89,,,,
57,58,71,87,,,,
73,68,69,90,,,,
70,70,79,86,,,,
71,74,69,95,,,,
43,72,69,80,,,,
66,65,60,87,,,,
63,67,75,86,,,,
62,63,63,80,,,,
58,62,66,77,,,,
51,60,63,87,,,,
62,57,67,85,,,,
66,54,56,84,,,,
60,46,54,82,,,,
59,74,65,84,,,,
50,54,58,80,,,,
63,66,60,93,,,,
70,78,69,97,,,,
58,61,61,87,,,,
75,64,69,90,,,,
48,50,47,78,,,,
60,57,51,85,,,,
74,73,72,93,,,,
69,69,63,92,,,,
90,90,93,97,,,,
51,57,50,83,,,,
67,69,68,90,,,,
51,66,58,75,,,,
39,57,37,75,,,,
60,61,69,80,,,,
54,52,52,81,,,,
64,65,75,86,,,,
65,69,67,86,,,,
88,91,93,94,,,,
60,66,67,79,,,,
59,76,77,74,,,,
60,70,65,86,,,,
62,81,74,88,,,,
72,76,75,95,,,,
71,77,81,85,,,,
84,91,92,99,,,,
44,68,65,84,,,,
62,61,58,86,,,,
38,53,40,68,,,,
48,58,48,76,,,,
60,73,65,89,,,,
58,66,66,89,,,,
52,75,75,88,,,,
61,74,77,85,,,,
42,52,58,83,,,,
60,51,71,92,,,,
64,67,54,81,,,,
62,62,70,89,,,,
57,66,70,82,,,,
65,78,82,89,,,,
61,56,57,80,,,,
47,56,52,75,,,,
50,63,32,76,,,,
58,59,61,83,,,,
66,61,76,86,,,,
76,80,88,95,,,,
87,86,90,98,,,,
70,76,76,86,,,,
71,75,60,90,,,,
64,66,79,90,,,,
74,89,76,95,,,,
61,58,63,81,,,,
68,73,67,91,,,,
49,70,64,77,,,,
72,86,81,90,,,,
52,60,68,85,,,,
57,62,65,84,,,,
62,63,53,84,,,,
49,57,61,87,,,,
71,65,78,95,,,,
56,63,73,80,,,,
65,62,61,83,,,,
54,52,59,83,,,,
67,73,78,69,,,,
57,55,42,74,,,,
68,67,68,92,,,,
73,75,69,93,,,,
69,66,84,89,,,,
40,51,53,87,,,,
53,72,58,76,,,,
49,48,62,76,,,,
55,64,76,86,,,,
42,55,54,80,,,,
52,60,80,93,,,,
43,59,58,75,,,,
48,66,73,90,,,,
63,77,79,98,,,,
32,44,59,75,,,,
45,67,51,74,,,,
57,75,62,86,,,,
44,58,49,78,,,,
49,56,54,83,,,,
53,72,78,81,,,,
69,71,70,85,,,,
39,73,52,79,,,,
38,68,49,76,,,,
55,72,66,87,,,,
71,79,78,90,,,,
71,78,54,91,,,,
52,65,66,81,,,,
65,81,86,92,,,,
71,70,75,92,,,,
40,62,68,81,,,,
57,77,65,92,,,,
67,65,58,89,,,,
53,59,57,84,,,,
66,57,46,85,,,,
40,66,65,84,,,,
50,62,57,84,,,,
55,85,64,97,,,,
62,74,51,87,,,,
66,79,76,87,,,,
69,86,82,94,,,,
71,60,68,88,,,,
50,80,76,93,,,,
48,60,48,84,,,,
48,78,71,85,,,,
57,67,62,95,,,,
54,73,83,92,,,,
55,69,78,92,,,,
48,67,61,83,,,,
57,64,62,80,,,,
39,58,60,76,,,,
60,65,62,85,,,,
71,81,84,99,,,,
60,62,65,82,,,,
51,56,62,90,,,,
59,57,66,75,,,,
70,76,62,86,,,,
55,62,74,87,,,,
54,73,58,85,,,,
68,81,81,93,,,,
49,56,56,78,,,,
65,72,54,83,,,,
41,70,71,90,,,,
70,75,82,94,,,,
58,76,79,94,,,,
47,60,58,84,,,,
54,75,65,80,,,,
60,67,67,86,,,,
56,63,66,84,,,,
77,71,66,88,,,,
63,76,73,95,,,,
59,69,59,78,,,,
65,70,70,83,,,,
56,64,65,86,,,,
52,66,62,90,,,,
50,49,59,86,,,,
37,44,65,87,,,,
70,81,71,98,,,,
62,67,68,85,,,,
44,50,50,76,,,,
41,60,38,72,,,,
58,64,59,85,,,,
79,75,62,84,,,,
44,54,40,75,,,,
58,64,56,90,,,,
72,81,76,95,,,,
57,79,72,89,,,,
69,73,75,97,,,,
44,68,61,78,,,,
57,70,61,83,,,,
55,65,55,78,,,,
49,61,51,81,,,,
68,81,82,95,,,,
44,58,49,84,,,,
58,55,61,74,,,,
52,72,67,87,,,,
41,79,54,77,,,,
50,65,75,85,,,,
48,61,61,92,,,,
59,78,60,88,,,,
50,62,56,76,,,,
53,73,49,89,,,,
44,52,59,81,,,,
68,68,68,91,,,,
64,68,54,84,,,,
48,48,62,85,,,,
49,69,57,88,,,,
51,68,72,83,,,,
69,61,58,88,,,,
64,76,62,89,,,,
62,66,67,87,,,,
60,72,59,91,,,,
50,72,65,90,,,,
71,81,68,91,,,,
61,66,58,88,,,,
83,91,87,99,,,,
56,65,53,88,,,,
65,65,68,83,,,,
70,71,56,83,,,,
64,61,47,81,,,,
55,53,38,81,,,,
58,59,56,87,,,,
69,71,71,91,,,,
76,69,92,87,,,,
53,55,58,75,,,,
50,74,74,84,,,,
71,63,74,89,,,,
76,76,78,90,,,,
57,79,66,89,,,,
33,49,56,75,,,,
51,60,59,94,,,,
41,58,51,77,,,,
57,55,61,82,,,,
48,67,74,82,,,,
70,67,63,91,,,,
52,65,68,80,,,,
51,64,62,85,,,,
88,89,87,95,,,,
62,72,58,75,,,,
34,59,48,76,,,,
69,75,87,97,,,,
59,63,47,82,,,,
70,73,67,93,,,,
40,56,74,80,,,,
49,68,66,89,,,,
46,54,51,76,,,,
52,63,53,81,,,,
47,59,54,83,,,,
65,66,69,84,,,,
47,61,63,83,,,,
59,80,71,96,,,,
66,81,60,83,,,,
70,89,67,96,,,,
44,76,68,82,,,,
67,74,77,91,,,,
65,69,56,87,,,,
57,76,78,83,,,,
62,67,68,84,,,,
55,65,62,80,,,,
53,75,67,86,,,,
64,71,46,87,,,,
41,65,53,79,,,,
69,84,65,91,,,,
57,65,61,89,,,,
72,68,60,75,,,,
63,75,73,84,,,,
55,66,52,86,,,,
74,78,77,86,,,,
46,57,54,80,,,,
67,63,52,86,,,,
59,69,71,94,,,,
63,71,57,84,,,,
72,63,62,84,,,,
67,73,84,93,,,,
64,69,57,80,,,,
76,74,74,91,,,,
73,61,63,86,,,,
40,51,37,72,,,,
73,69,63,91,,,,
52,76,66,84,,,,
45,62,50,83,,,,
63,63,42,73,,,,
60,75,76,90,,,,
66,78,68,91,,,,
44,62,49,78,,,,
56,77,64,96,,,,
47,57,54,80,,,,
65,77,70,84,,,,
76,75,77,87,,,,
55,70,62,76,,,,
56,68,75,94,,,,
64,80,71,95,,,,
64,73,69,93,,,,
38,49,45,75,,,,
54,57,58,76,,,,
71,81,66,89,,,,
64,70,77,91,,,,
65,80,70,94,,,,
72,68,75,84,,,,
41,62,48,78,,,,
55,76,67,85,,,,
66,71,76,90,,,,
46,69,65,82,,,,
71,70,57,83,,,,
63,85,58,94,,,,
57,79,70,92,,,,
59,63,62,77,,,,
73,74,62,92,,,,
83,74,68,94,,,,
79,75,75,93,,,,
50,56,51,82,,,,
58,67,48,80,,,,
59,70,57,89,,,,
54,61,64,86,,,,
62,81,66,93,,,,
71,71,64,94,,,,
66,80,68,90,,,,
56,55,64,81,,,,
66,67,45,77,,,,
49,69,77,93,,,,
72,63,60,88,,,,
70,78,76,96,,,,
70,78,81,92,,,,
65,63,60,77,,,,
51,49,44,76,,,,
66,74,72,83,,,,
54,65,60,92,,,,
51,56,51,86,,,,
62,72,58,83,,,,
69,72,60,85,,,,
60,75,58,87,,,,
30,56,54,79,,,,
73,73,62,93,,,,
43,60,49,75,,,,
83,83,69,92,,,,
60,68,79,86,,,,
64,81,80,96,,,,
62,73,68,91,,,,
34,70,51,77,,,,
58,72,67,85,,,,
44,63,46,78,,,,
56,62,61,79,,,,
62,75,57,95,,,,
82,88,88,96,,,,
52,73,66,91,,,,
49,68,57,93,,,,
59,58,54,80,,,,
85,82,91,95,,,,
62,63,66,94,,,,
53,72,72,90,,,,
59,61,63,88,,,,
50,62,75,83,,,,
73,79,83,99,,,,
68,61,80,93,,,,
69,55,80,95,,,,
73,71,72,95,,,,
64,88,74,95,,,,
67,74,68,90,,,,
61,64,63,88,,,,
48,61,63,77,,,,
68,76,65,88,,,,
50,63,74,94,,,,
66,65,70,86,,,,
56,87,88,94,,,,
32,59,62,75,,,,
53,72,66,93,,,,
73,65,74,86,,,,
75,80,79,95,,,,
64,69,70,80,,,,
59,69,77,90,,,,
58,61,52,86,,,,
65,76,61,86,,,,
61,71,56,93,,,,
58,72,65,89,,,,
67,72,70,97,,,,
71,71,59,83,,,,
70,72,80,87,,,,
51,57,72,93,,,,
71,80,68,94,,,,
57,57,59,83,,,,
55,65,70,83,,,,
49,65,54,88,,,,
71,62,76,91,,,,
57,68,70,90,,,,
72,78,73,92,,,,
60,68,75,79,,,,
75,75,77,86,,,,
55,62,47,84,,,,
54,63,68,80,,,,
56,54,58,76,,,,
55,62,65,90,,,,
51,53,54,83,,,,
46,66,72,86,,,,
67,78,86,95,,,,
64,82,89,96,,,,
67,51,57,79,,,,
79,75,62,88,,,,
48,68,60,84,,,,
74,89,56,88,,,,
66,75,58,77,,,,
56,80,73,78,,,,
29,50,39,75,,,,
63,72,64,95,,,,
64,66,69,88,,,,
57,61,54,83,,,,
73,78,64,93,,,,
47,77,58,86,,,,
42,57,61,81,,,,
62,63,55,90,,,,
60,66,69,84,,,,
48,56,54,81,,,,
64,70,66,89,,,,
53,66,58,77,,,,
54,59,58,77,,,,
44,69,67,80,,,,
62,64,55,81,,,,
78,69,73,94,,,,
63,78,68,94,,,,
72,67,73,88,,,,
61,68,76,83,,,,